"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\AnalysisManager.cs", "C#", 37, 0, 8, 45
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\Bottle1Zone.cs", "C#", 17, 0, 7, 24
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\Bottle2Zone.cs", "C#", 17, 0, 7, 24
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\CleanTable.cs", "C#", 15, 0, 9, 24
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\ErlenmeyerZone.cs", "C#", 17, 0, 4, 21
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\LightManager.cs", "C#", 26, 0, 8, 34
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\TaskManager.cs", "C#", 145, 7, 25, 177
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 1\WardrobeManager.cs", "C#", 48, 0, 13, 61
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 2\CoolBottle.cs", "C#", 12, 0, 4, 16
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 2\ErlenmeyerManager.cs", "C#", 66, 0, 11, 77
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 2\FillBottle.cs", "C#", 19, 0, 6, 25
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 2\HeatBottle.cs", "C#", 52, 0, 10, 62
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 2\ReagenzHolder.cs", "C#", 35, 0, 17, 52
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 2\ReagenzManager.cs", "C#", 42, 0, 14, 56
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 2\TaskManager2.cs", "C#", 132, 8, 20, 160
"c:\Users\Hendrik Wetzel\Create with VR\VR-Prototype 2\VR Room Project\Assets\Scripts\Chapter 3\TaskManager3.cs", "C#", 94, 3, 20, 117
